,index,company_name,record_date,fei_number,record_type,state,establishment_type_x,publish_date,excerpt,href,pdf_url,pdf_name,firm_name,establishment_type_y,facility_city,auditors,audit_dates,observations,topic_number,topic_probability
0,0,"Nubratori, Inc dba Nubratori Rx",2019-09-26,3010166491,483,California,Outsourcing Facility,2019-11-27,NaN,/media/133037/download,https://www.fda.gov/media/133037/download,Nubratori508ed,   ,        ENT INSPECTED     sing Facility  ,   ,"Zachery L Miller, Investigator  ",IN  DATE(S) OF INSPECTION 8/26/2019-9/ 26/ 2019+  ,"This document hsts observations made by the FDA representative(s) during the inspection of your facility. They are inspechonal observations, and do net represent a final Agency determination regarding your compliance. If you have an objection regarding an observation, or have implemented, or plan to implement, corrective action in response to an observation, you may discuss the objection or action with the FDA representative(s) during the inspection or submit this information to FDA at the address above. If you have any questions, please contact FDA at the phone number and address above.     DURING AN INSPECTION OF YOUR FIRM | OBSERVED:  ",6,0.886393666267395
0,0,"Nubratori, Inc dba Nubratori Rx",2019-09-26,3010166491,483,California,Outsourcing Facility,2019-11-27,NaN,/media/133037/download,https://www.fda.gov/media/133037/download,Nubratori508ed,   ,        ENT INSPECTED     sing Facility  ,   ,"Zachery L Miller, Investigator  ",IN  DATE(S) OF INSPECTION 8/26/2019-9/ 26/ 2019+  ,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile are not established.  Specifically,  A) Your firm's most recent smoke study video, filmed on 6/28/2019 of in situ air pattern analysis, was not conducted under dynamic conditions that simulate routine production, such as (b) (4) 1. TV bag manipulation and injection of drug product into multiple sealed, sterile SmL clear vials, with (b) (4  (b) (4) Without simulating unidirectional airflow and its sweeping action over and away from a representative operation within the laminar (b) (4) _ airflow hood, there is no assurance critical processing areas are suitable for aseptic manufacturing of sterile drug products.  B) On 8/28/19, I observed your compounding technician allow vials and tubing lines to be positioned into the path of unidirectional “first air” during the vial filling process of Lidocaine HCl w/Bupivacaine HCl Injection USP, Lot No. C08281901.  C) On 9/24/19, I observed your compounding technician allow gloved hand and vial to be positioned into the path of first air during the vial filling process of Lidocidex 5mg/10mg/1.5mL Injection, Lot No. CO9241901. The(b) (4) HEPA filtered “first air” of the vial's filling surface/septum and needle was disrupted by the technician's gloved finger and vial during needle insertion and during the drawing up of dexamethasone into the syringe.  D) On 9/24/19, I observed your technician wipe down a sterile needle with a sterile (b) (4) prep pad and then proceed to pull up®™ milliliters of lidocaine into a sterile syringe. The ®mL of lidocaine was later commingled with dexamethasone in a 1,.000mL IV bag, in compounding Lidocidex 5mg/10mg/1.5mL Injection, Lot No. CO9241901.  ",12,0.129522904753685
0,0,"Nubratori, Inc dba Nubratori Rx",2019-09-26,3010166491,483,California,Outsourcing Facility,2019-11-27,NaN,/media/133037/download,https://www.fda.gov/media/133037/download,Nubratori508ed,   ,        ENT INSPECTED     sing Facility  ,   ,"Zachery L Miller, Investigator  ",IN  DATE(S) OF INSPECTION 8/26/2019-9/ 26/ 2019+  ,"Disinfectant contact time (also known as ""dwell time"") and coverage of the item being disinfected were insufficient to achieve adequate levels of disinfection.  Specifically,  The(b) (4) dwell time of your(D) (4) is neither recorded in a cleaning record nor correctly identified within your (b) (4) Cleaning Procedure of Cleanroom, SOP 4.13.  ",14,0.21523910760879517
0,0,"Nubratori, Inc dba Nubratori Rx",2019-09-26,3010166491,483,California,Outsourcing Facility,2019-11-27,NaN,/media/133037/download,https://www.fda.gov/media/133037/download,Nubratori508ed,   ,        ENT INSPECTED     sing Facility  ,   ,"Zachery L Miller, Investigator  ",IN  DATE(S) OF INSPECTION 8/26/2019-9/ 26/ 2019+  ,"You compound drugs that are essentially a copy of one or more approved drugs within the meaning of sections 503B(a)(5) and 503B(d)@). Specifically, you compound drug products that: are not identical or nearly identical to an approved drug, but contain a bulk drug substance that is also a component of an approved drug, and for which there is no change that produces for an individual patient a clinical difference, as determined by the prescribing practitioner, between the compounded drug and the comparable approved drug.  Examples of compounded drug products that are essentially a copy of one or more approved drugs include:  e JFE-PG20 (alprostadil injection)  *DATES OF INSPECTION 8/26/2019(Mon), 8/27/2019(Tue), 8/28/2019(Wed), 8/29/2019(Thu), 8/30/2019(Fri), 9/23/2019(Mon), 9/24/2019(Tue), 9/25/2019(Wed), 9/26/2019(Thu)  ",2,0.9820296764373779
1,1,AnazaoHealth Corporation,2019-09-19,3011152407 ,483,Nevada,Outsourcing Facility,2019-11-27,NaN,/media/132898/download,https://www.fda.gov/media/132898/download,Anazao508ed,"MMaA4ZACNMNeALLID LOLPOLaALLON CITY, STATE, ZIP CODE, COUNTRY  Las Vegas, NV 89113-1944     ",TYPE ESTABLISH! iT INSPECTED     Outsourcing Facility  ,"ee ee ee  CITY, STATE, ZIP CODE, COUNTRY     Las Vegas, NV 89113-1944  ","TS le ee ee Ne  Zachery L Miller, Investigator  ",‘ DATE(S) OF INSPECTION  9/9/2019-9/19/2019*  ,"Aseptic processing areas are deficient regarding the system for cleaning and disinfecting the room and equipment to produce aseptic conditions.  Specifically,  A) Following the cleaning of classified laminar flow hoods/biosafety cabinets and clean rooms, your firm does not require a visual inspection to check that the cleaning has been completed and that it was effective. With any type of cleaning there needs to be some type of verification process in place.  During inspection walk-through on September 9"", I noted the following:  1) An accumulation of cleaning residue from present and past cleanings, was found in LFH Cleanroo: The residue was located in the back, right hand corner of the LFH (6)(4) YY) In addition, small eee than the size of a Washington quarter) were observed in the  (6)(4) side paneling (6) (4))) LFHs HOG and #  2) A small piece of plastic (1/2-inch x 1/8 inch) was observed stuck in the (B)(@)ININ front grill of BSC 4 Cleanroom  3) A thin 2-inch string of Teflon tape was observed dangling from a (6) (4)) located inside BSC me Cleanroom      - Prior to entering both cleanrooms, I was informed rooms were in clean Status.  B) During the inspectional walk-through of your facility on 9/9/19, non-smooth cleaning surfaces (porous speakers) were observed in the ISO 7 certified cleanroom/buffer areas, to include a JBL Bluetooth Speaker and office phones.  ",18,0.19984275102615356
1,1,AnazaoHealth Corporation,2019-09-19,3011152407 ,483,Nevada,Outsourcing Facility,2019-11-27,NaN,/media/132898/download,https://www.fda.gov/media/132898/download,Anazao508ed,"MMaA4ZACNMNeALLID LOLPOLaALLON CITY, STATE, ZIP CODE, COUNTRY  Las Vegas, NV 89113-1944     ",TYPE ESTABLISH! iT INSPECTED     Outsourcing Facility  ,"ee ee ee  CITY, STATE, ZIP CODE, COUNTRY     Las Vegas, NV 89113-1944  ","TS le ee ee Ne  Zachery L Miller, Investigator  ",‘ DATE(S) OF INSPECTION  9/9/2019-9/19/2019*  ,"The flow of components, drug product containers, closures and in-process materials thewgh the building is not designed to prevent contamination. 7/9 Specifically,  (6)4)) your sterile compounding clean rooms (6) (49), have eISO7 buffer rooms to unclassified work spaces. Equipment and components are  prior to and during sterile production.  These are not designed with interlocking mechanisms to prevent cross-contamination of the adjoining spaces oor at a time can open. ",18,0.16859465837478638
1,1,AnazaoHealth Corporation,2019-09-19,3011152407 ,483,Nevada,Outsourcing Facility,2019-11-27,NaN,/media/132898/download,https://www.fda.gov/media/132898/download,Anazao508ed,"MMaA4ZACNMNeALLID LOLPOLaALLON CITY, STATE, ZIP CODE, COUNTRY  Las Vegas, NV 89113-1944     ",TYPE ESTABLISH! iT INSPECTED     Outsourcing Facility  ,"ee ee ee  CITY, STATE, ZIP CODE, COUNTRY     Las Vegas, NV 89113-1944  ","TS le ee ee Ne  Zachery L Miller, Investigator  ",‘ DATE(S) OF INSPECTION  9/9/2019-9/19/2019*  ,"Bulk drug substances used by your outsourcing facility to compound drug products are not each manufactured by an establishment that is registered under section 510 of the FDCA as required by section 503(a)(2)(C).  Specifically,  Although you are receiving bulk drug substances from FDA-registered suppliers, you have neither verified these components are manufactured in an FDA-registered establishment nor established a supplier quality agreement that ensures the component’s pedigree. An example of suppliers and components with insufficient quality agreements, include:  *DATES OF INSPECTION  9/09/2019(Mon), 9/10/2019(Tue), 9/11/2019(Wed), 9/12/2019(Thu), 9/13/2019(Fri), 9/16/2019(Mon), 9/17/2019(Tue), 9/18/2019(Wed), 9/19/2019(Thu)     ",3,0.30909761786460876
2,7,"Banner Pharmacy Services, LLC",2019-10-08,3009422393,483,Arizona,Producer of Sterile Drug Products,2019-12-09,NaN,/media/133246/download,https://www.fda.gov/media/133246/download,Banner508ed,"Palilloi Citediitiat Y Vet Veep, Lt CITY. STATE, ZIP CODE, COUNTRY  Chandler, AZ 85226-2410     ",TYPE ESTABLISHMENT INSPECTED Producer of Sterile Drug Products  ,"   Oe Ee SN et Oe EE EE y TY  CITY, STATE, ZIP CODE, COUNTRY  Chandler,  AZ 85226-2410  ","Bryan L Mcguckin, Investigator  ",UN  DATE(S) OF INSPECTION 10/2/2019-10/8/2019*  ,"Disinfecting agents and used in the ISO 5 classified aseptic processing areas were not sterile.  Specifically, Per SOP 02-04.02 ""Cleaning and Disinfecting of the Sterile Compounding Area"" cleaning agents used in the ISO classified work areas are described as an "" (b) (4) or (b) (4)  "" however, during review of the cleaning agent "" (b) (4) , it was  confirmed the agent 1s not sterile.  *DATES OF INSPECTION 10/02/2019(Wed), 10/03/2019(Thu), 10/04/2019(Fri), 10/08/2019(Tue)  ",14,0.14546789228916168
3,114,BSO LLC dba Belmar Select Outsourcing,2019-09-20,3011976853,483,Colorado,Outsourcing Facility,2019-11-12,NaN,/media/132339/download,https://www.fda.gov/media/132339/download,BSOBelmarSelect508ed,"BeVY Ste YA Petite VE See VEE eV tity CITY, STATE, ZIP CODE, COUNTRY  Lakewood, CO 80228-1971     ",TYPE ESTABLISHMENT INSPECTED Outsourcing Facility  ,"   CITY, STATE, ZIP CODE, COUNTRY  Lakewood, CO 80228-1971  ","SE ean a gS i ee Pt eRe eg  Alan P Kurtzberg, Investigator  ",“BATES OF INSPECTION 9/9/2019-9/20/2019*  ,"Equipment and utensils are not cleaned at appropriate intervals to prevent contamination that would alter the safety, identity, strength, quality or purity of the drug product.  Specifically, validation/verification of the cleaning methods for tools and equipment used in the manufacture of pellet drug products has not been proven. Data examined for the cleaning from testosterone/cholesterol pellets and from progesterone pellets have inappropriate acceptance criteria.  ",14,0.63214510679245
3,114,BSO LLC dba Belmar Select Outsourcing,2019-09-20,3011976853,483,Colorado,Outsourcing Facility,2019-11-12,NaN,/media/132339/download,https://www.fda.gov/media/132339/download,BSOBelmarSelect508ed,"BeVY Ste YA Petite VE See VEE eV tity CITY, STATE, ZIP CODE, COUNTRY  Lakewood, CO 80228-1971     ",TYPE ESTABLISHMENT INSPECTED Outsourcing Facility  ,"   CITY, STATE, ZIP CODE, COUNTRY  Lakewood, CO 80228-1971  ","SE ean a gS i ee Pt eRe eg  Alan P Kurtzberg, Investigator  ",“BATES OF INSPECTION 9/9/2019-9/20/2019*  ,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile are not established and followed.  Specifically, -_  A.) An employee in the blending/granulation room (ISO 8) of cleanroom was observed on 09/09/2019 with a beard cover that did not completely cover the beard.  B.) On the same day, an umbrella was observed inverted on a plastic tray. Both the umbrella and tray were located in an unclassified area reserved for temporary storage of quarantine non-ingredient materials such as caps and vials.  *DATES OF INSPECTION 9/09/2019(Mon), 9/10/2019(Tue), 9/11/2019(Wed), 9/12/2019(Thu), 9/13/2019(Fri), 9/19/2019(Thu),  9/20/2019(Fri)  AMENDMENT 1  ",18,0.15214404463768005
