Citation Program Area,Cite Id,Reference Number,Short Description,Long Description,Frequency
Drugs,1105,21 CFR 211.22(d),"Procedures not  in writing, fully followed","The responsibilities and procedures applicable to the quality control unit are not [in writing] [fully followed].  Specifically, ***",215
Drugs,2027,21 CFR 211.192,"Investigations of discrepancies, failures","There is a failure to thoroughly review [any unexplained discrepancy] [the failure of a batch or any of its components to meet any of its specifications] whether or not the batch has been already distributed.  Specifically, ***",167
Drugs,3603,21 CFR 211.160(b),Scientifically sound laboratory controls,"Laboratory controls do not include the establishment of scientifically sound and appropriate [specifications] [standards] [sampling plans] [test procedures] designed to assure that [components] [drug product containers] [closures] [in-process materials] [labeling] [drug products] conform to appropriate standards of identity, strength, quality and purity.  Specifically, ***",145
Drugs,1361,21 CFR 211.100(a),Absence of Written Procedures ,"There are no written procedures for production and process controls designed to assure that the drug products have the identity, strength, quality, and purity they purport or are represented to possess.  Specifically, ***",108
Drugs,1213,21 CFR 211.67(a),Cleaning / Sanitizing / Maintenance,"Equipment and utensils are not [cleaned] [maintained] [sanitized] at appropriate intervals to prevent [malfunctions] [contamination] that would alter the safety, identity, strength, quality or purity of the drug product.  Specifically, ***",99
Drugs,1883,21 CFR 211.165(a),Testing and release for distribution,"Testing and release of drug product for distribution do not include appropriate laboratory determination of satisfactory conformance to the [final specifications] [identity and strength of each active ingredient] prior to release.  Specifically, ***",90
Drugs,3585,21 CFR 211.110(a),Control procedures to monitor and validate performance,"Control procedures are not established which [monitor the output] [validate the performance] of those manufacturing processes that may be responsible for causing variability in the characteristics of in-process material and the drug product.  Specifically, ***
",81
Drugs,1451,21 CFR 211.113(b),Procedures for sterile drug products,"Procedures designed to prevent microbiological contamination of drug products purporting to be sterile are not [established] [written] [followed].  Specifically, ***",79
Drugs,1263,21 CFR 211.68(b),Computer control of master formula records,"Appropriate controls are not exercised over computers or related systems to assure that changes in master production and control records or other records are instituted only by authorized personnel.  Specifically, ***",73
Drugs,1914,21 CFR 211.166(a),Lack of written stability program,"There is no written testing program designed to assess the stability characteristics of drug products.  Specifically, ***",67
Drugs,1177,21 CFR 211.63,"Equipment Design, Size and Location","Equipment used in the manufacture, processing, packing or holding of  drug products is not [of appropriate design] [of adequate size] [suitably located] to facilitate operations for its [intended use] [cleaning and maintenance].  Specifically, ***",66
Drugs,1215,21 CFR 211.67(b),Written procedures not established/followed,"Written procedures are not [established] [followed] for the cleaning and maintenance of equipment, including utensils, used in the manufacture, processing, packing or holding of a drug product.  Specifically, *** 
",65
