Facility Name,initial_outsourcing_registration_date,current_outsourcing_registration_date,date_last_inspection,form483_issued,other_action,intent_to_compound_from_bulk_drug_substance
"Advanced Pharmaceutical Technology, Inc., Elmsford, NY",2/26/2019,11/18/2019,Not yet inspected,N/A,N/A,Yes
"AnazaoHealth Corporation, Las Vegas, NV",9/23/2014,10/22/2019,9/19/2019,Yes,Open7,Yes
"Apollo Care, Columbia, MO",9/14/2017,12/11/2019,3/13/2018,Yes,Warning Letter - 3/20/2019,Yes
"AptiPharma, LLC, Loveland, CO",2/7/2020,2/7/2020,Not yet inspected,N/A,N/A,No
"ASP CARES, San Antonio, TX",2/14/2017,12/3/2019,8/23/2018,Yes,Open,Yes
"Athenex Pharma Solutions, LLC, Clarence, NY",4/10/2017,10/25/2019,8/28/2019,Yes,Open7,Yes
"Atlas Pharmaceuticals, Phoenix, AZ",11/8/2016,11/22/2019,9/26/2017,Yes,Warning Letter - 9/11/2018,Yes 
"Optum Compounding Services, LLC, formerly registered as Avella of Deer Valley, Inc., Phoenix, AZ",6/21/2016,12/11/2019,4/20/2018,Yes,Open,Yes
"BayCare Integrated Service Center, LLC dba BayCare Central Pharmacy, Temple Terrace, FL",6/4/2019,12/7/2019,12/10/2019,Yes,Yes,No
"BPI Labs LLC, Largo, FL",3/4/2019,12/3/2019,Not yet inspected,N/A,N/A,Yes
"Brookfield Medical/Surgical Supply, Inc., Brookfield, CT",1/12/2015,1/16/2020,12/21/2018,Yes,Open,Yes
"BSO LLC, Lakewood, CO",11/24/2015,10/17/2019,9/20/2019,Yes,Open7,Yes
"Central Admixture Pharmacy Services, Inc., Allentown, PA",2/28/2014,10/18/2019,8/22/2018,Yes,FMD-145 Issued 6/17/2020,Yes
"Central Admixture Pharmacy Services, Phoenix, AZ",3/29/2018,10/18/2019,4/26/2019,No,FMD-145 Issued 6/3/2020,Yes
"Central Admixture Pharmacy Services, Inc., San Diego, CA",6/4/2014,10/18/2019,9/11/2018,Yes,FMD-145 Issued 5/27/2020,No
